 

stn;time;prestas0
ATT;202406041100;731.2
ATT;202406041110;731.3
ATT;202406041120;731.3
ATT;202406041130;731.3
ATT;202406041140;731.3
ATT;202406041150;731.3
ATT;202406041200;731.2
ATT;202406041210;731.2
ATT;202406041220;731.2
ATT;202406041230;731.2
ATT;202406041240;731.2
ATT;202406041250;731.1
ATT;202406041300;731.1
ATT;202406041310;731.1
ATT;202406041320;731.1
ATT;202406041330;731.1
ATT;202406041340;731.1
ATT;202406041350;731.1
ATT;202406041400;731.2
ATT;202406041410;731.2
ATT;202406041420;731.2
ATT;202406041430;731.3
ATT;202406041440;731.3
ATT;202406041450;731.2
ATT;202406041500;731.3
ATT;202406041510;731.2
ATT;202406041520;731.2
ATT;202406041530;731.3
ATT;202406041540;731.2
ATT;202406041550;731.2
ATT;202406041600;731.2
ATT;202406041610;731.3
ATT;202406041620;731.3
ATT;202406041630;731.3
ATT;202406041640;731.3
ATT;202406041650;731.4
ATT;202406041700;731.3
ATT;202406041710;731.3
ATT;202406041720;731.4
ATT;202406041730;731.4
ATT;202406041740;731.3
ATT;202406041750;731.4
ATT;202406041800;731.4
ATT;202406041810;731.4
ATT;202406041820;731.3
ATT;202406041830;731.4
ATT;202406041840;731.3
ATT;202406041850;731.4
ATT;202406041900;731.4
ATT;202406041910;731.4
ATT;202406041920;731.4
ATT;202406041930;731.4
ATT;202406041940;731.5
ATT;202406041950;731.6
ATT;202406042000;731.6
ATT;202406042010;731.8
ATT;202406042020;731.8
ATT;202406042030;731.9
ATT;202406042040;731.9
ATT;202406042050;732.0
ATT;202406042100;732.0
ATT;202406042110;732.0
ATT;202406042120;732.0
ATT;202406042130;732.1
ATT;202406042140;732.2
ATT;202406042150;732.2
ATT;202406042200;732.2
ATT;202406042210;732.2
ATT;202406042220;732.3
ATT;202406042230;732.2
ATT;202406042240;732.2
ATT;202406042250;732.2
ATT;202406042300;732.2
ATT;202406042310;732.2
ATT;202406042320;732.2
ATT;202406042330;732.2
ATT;202406042340;732.2
ATT;202406042350;732.2
ATT;202406050000;732.2
ATT;202406050010;732.2
ATT;202406050020;732.2
ATT;202406050030;732.1
ATT;202406050040;732.2
ATT;202406050050;732.2
ATT;202406050100;732.2
ATT;202406050110;732.2
ATT;202406050120;732.2
ATT;202406050130;732.1
ATT;202406050140;732.1
ATT;202406050150;732.1
ATT;202406050200;732.0
ATT;202406050210;732.0
ATT;202406050220;732.0
ATT;202406050230;732.0
ATT;202406050240;732.0
ATT;202406050250;732.0
ATT;202406050300;732.0
ATT;202406050310;732.0
ATT;202406050320;732.0
ATT;202406050330;731.9
ATT;202406050340;731.9
ATT;202406050350;732.0
ATT;202406050400;732.0
ATT;202406050410;732.0
ATT;202406050420;732.0
ATT;202406050430;732.1
ATT;202406050440;732.1
ATT;202406050450;732.1
ATT;202406050500;732.1
ATT;202406050510;732.1
ATT;202406050520;732.1
ATT;202406050530;732.1
ATT;202406050540;732.2
ATT;202406050550;732.2
ATT;202406050600;732.3
ATT;202406050610;732.3
ATT;202406050620;732.4
ATT;202406050630;732.4
ATT;202406050640;732.5
ATT;202406050650;732.5
ATT;202406050700;732.5
ATT;202406050710;732.5
ATT;202406050720;732.5
ATT;202406050730;732.5
ATT;202406050740;732.6
ATT;202406050750;732.6
ATT;202406050800;732.6
ATT;202406050810;732.7
ATT;202406050820;732.7
ATT;202406050830;732.7
ATT;202406050840;732.8
ATT;202406050850;732.9
ATT;202406050900;732.9
ATT;202406050910;733.0
ATT;202406050920;733.1
ATT;202406050930;733.1
ATT;202406050940;733.2
ATT;202406050950;733.2
ATT;202406051000;733.2
ATT;202406051010;733.2
ATT;202406051020;733.3
ATT;202406051030;733.3
ATT;202406051040;733.4
ATT;202406051050;733.5
ATT;202406051100;733.5
ATT;202406051110;733.5
ATT;202406051120;733.6
ATT;202406051130;733.6
ATT;202406051140;733.6
ATT;202406051150;733.6
ATT;202406051200;733.6
ATT;202406051210;733.6
ATT;202406051220;733.7
ATT;202406051230;733.7
ATT;202406051240;733.7
ATT;202406051250;733.7
ATT;202406051300;733.7
ATT;202406051310;733.8
ATT;202406051320;733.8
ATT;202406051330;733.8
ATT;202406051340;733.8
ATT;202406051350;733.9
ATT;202406051400;733.9
ATT;202406051410;733.9
ATT;202406051420;734.0
ATT;202406051430;734.0
ATT;202406051440;734.0
ATT;202406051450;734.0
ATT;202406051500;733.9
ATT;202406051510;733.9
ATT;202406051520;733.9
ATT;202406051530;733.9
ATT;202406051540;733.9
ATT;202406051550;734.0
ATT;202406051600;734.0
ATT;202406051610;734.0
ATT;202406051620;734.0
ATT;202406051630;734.0
ATT;202406051640;734.0
ATT;202406051650;734.0
ATT;202406051700;734.1
ATT;202406051710;734.1
ATT;202406051720;734.1
ATT;202406051730;734.1
ATT;202406051740;734.1
ATT;202406051750;734.2
ATT;202406051800;734.2
ATT;202406051810;734.3
ATT;202406051820;734.3
ATT;202406051830;734.3
ATT;202406051840;734.4
ATT;202406051850;734.4
ATT;202406051900;734.4
ATT;202406051910;734.4
ATT;202406051920;734.4
ATT;202406051930;734.5
ATT;202406051940;734.6
ATT;202406051950;734.7
ATT;202406052000;734.7
ATT;202406052010;734.8
ATT;202406052020;734.8
ATT;202406052030;734.9
ATT;202406052040;735.0
ATT;202406052050;735.0
ATT;202406052100;735.1
ATT;202406052110;735.1
ATT;202406052120;735.1
ATT;202406052130;735.1
ATT;202406052140;735.1
ATT;202406052150;735.1
ATT;202406052200;735.1
ATT;202406052210;735.1
ATT;202406052220;735.1
ATT;202406052230;735.1
ATT;202406052240;735.1
ATT;202406052250;735.1
ATT;202406052300;735.0
ATT;202406052310;734.9
ATT;202406052320;734.9
ATT;202406052330;734.9
ATT;202406052340;734.8
ATT;202406052350;734.8
ATT;202406060000;734.8
ATT;202406060010;734.7
ATT;202406060020;734.8
ATT;202406060030;734.8
ATT;202406060040;734.8
ATT;202406060050;734.8
ATT;202406060100;734.7
ATT;202406060110;734.6
ATT;202406060120;734.4
ATT;202406060130;734.4
ATT;202406060140;734.3
ATT;202406060150;734.4
ATT;202406060200;734.3
ATT;202406060210;734.3
ATT;202406060220;734.3
ATT;202406060230;734.3
ATT;202406060240;734.3
ATT;202406060250;734.4
ATT;202406060300;734.4
ATT;202406060310;734.4
ATT;202406060320;734.4
ATT;202406060330;734.4
ATT;202406060340;734.4
ATT;202406060350;734.3
ATT;202406060400;734.4
ATT;202406060410;734.4
ATT;202406060420;734.4
ATT;202406060430;734.4
ATT;202406060440;734.5
ATT;202406060450;734.5
ATT;202406060500;734.6
ATT;202406060510;734.8
ATT;202406060520;734.9
ATT;202406060530;734.9
ATT;202406060540;735.0
ATT;202406060550;735.0
ATT;202406060600;735.0
ATT;202406060610;735.1
ATT;202406060620;735.2
ATT;202406060630;735.3
ATT;202406060640;735.3
ATT;202406060650;735.3
ATT;202406060700;735.3
ATT;202406060710;735.3
ATT;202406060720;735.3
ATT;202406060730;735.4
ATT;202406060740;735.5
ATT;202406060750;735.5
ATT;202406060800;735.6
ATT;202406060810;735.7
ATT;202406060820;735.6
ATT;202406060830;735.5
ATT;202406060840;735.7
ATT;202406060850;735.7
ATT;202406060900;735.7
ATT;202406060910;735.8
ATT;202406060920;735.9
ATT;202406060930;735.9
ATT;202406060940;736.0
ATT;202406060950;736.1
ATT;202406061000;736.1
ATT;202406061010;736.2
ATT;202406061020;736.4
ATT;202406061030;736.4
ATT;202406061040;736.5
ATT;202406061050;736.4
ATT;202406061100;736.5
ATT;202406061110;736.6
ATT;202406061120;736.7
ATT;202406061130;736.7
ATT;202406061140;736.7
ATT;202406061150;736.6
ATT;202406061200;736.6
ATT;202406061210;736.6
ATT;202406061220;736.6
ATT;202406061230;736.8
ATT;202406061240;736.8
ATT;202406061250;736.9
ATT;202406061300;736.8
ATT;202406061310;736.9
ATT;202406061320;736.8
ATT;202406061330;736.8
ATT;202406061340;736.8
ATT;202406061350;736.8
ATT;202406061400;736.8
ATT;202406061410;736.8
ATT;202406061420;737.0
ATT;202406061430;736.9
ATT;202406061440;736.9
ATT;202406061450;736.9
ATT;202406061500;736.9
ATT;202406061510;736.8
ATT;202406061520;736.7
